Model,F1 Score,Precision,Recall,AUC
RandomForest,0.9709803921568627,0.9604344453064391,0.9817605075337034,0.9949209065486875
DecisionTree,0.9593046226787831,0.9559055118110236,0.9627279936558287,0.9650907800826412
GradientBoost,0.9366889500589854,0.9290171606864275,0.9444885011895321,0.9833987228181476
Logistic,0.9362204724409449,0.9296325254104769,0.9429024583663759,0.9807583788972829
AdaBoost,0.9247563352826511,0.9095092024539877,0.9405233941316415,0.9608890187403482
